nodes,pernode,nedges,nverts,format,ingress,algorithm,iterations,engine,lookup,source,directed
8,1,3738733477,105896447,snap,random,pagerank,20,plsync,,,
8,1,3738733477,105896447,snap,grid,pagerank,20,plsync,,,
8,1,3738733477,105896447,snap,dbh,pagerank,20,plsync,,,
8,1,3738733477,105896447,snap,hybrid,pagerank,20,plsync,,,
8,1,3738733477,105896447,snap,hybrid_ginger,pagerank,20,plsync,,,
8,1,3738733477,105896447,adj_ec,random_ec,pagerank,20,plsyncec,,,
8,1,3738733477,105896447,adj_ec,ldg,pagerank,20,plsyncec,,,
8,1,3738733477,105896447,adj_ec,fennel,pagerank,20,plsyncec,,,
8,1,3738733477,105896447,snap,random,connected_component,0,plsync,,,
8,1,3738733477,105896447,snap,grid,connected_component,0,plsync,,,
8,1,3738733477,105896447,snap,dbh,connected_component,0,plsync,,,
8,1,3738733477,105896447,snap,hybrid,connected_component,0,plsync,,,
8,1,3738733477,105896447,snap,hybrid_ginger,connected_component,0,plsync,,,
8,1,3738733477,105896447,adj_ec,random_ec,connected_component,0,plsync,,,
8,1,3738733477,105896447,adj_ec,ldg,connected_component,0,plsync,,,
8,1,3738733477,105896447,adj_ec,fennel,connected_component,0,plsync,,,
8,1,3738733477,105896447,snap,random,sssp,0,plsync,,44,true
8,1,3738733477,105896447,snap,grid,sssp,0,plsync,,44,true
8,1,3738733477,105896447,snap,dbh,sssp,0,plsync,,44,true
8,1,3738733477,105896447,snap,hybrid,sssp,0,plsync,,44,true
8,1,3738733477,105896447,snap,hybrid_ginger,sssp,0,plsync,,44,true
8,1,3738733477,105896447,adj_ec,random_ec,sssp,0,plsync,,44,true
8,1,3738733477,105896447,adj_ec,ldg,sssp,0,plsync,,44,true
8,1,3738733477,105896447,adj_ec,fennel,sssp,0,plsync,,44,true
