nodes,pernode,nedges,nverts,format,ingress,algorithm,iterations,engine,lookup,source,directed
16,1,58333344,23947347,snap,random,pagerank,0,plsync,,,
16,1,58333344,23947347,snap,grid,pagerank,0,plsync,,,
16,1,58333344,23947347,snap,dbh,pagerank,0,plsync,,,
16,1,58333344,23947347,snap,hybrid,pagerank,0,plsync,,,
16,1,58333344,23947347,snap,hybrid_ginger,pagerank,0,plsync,,,
16,1,58333344,23947347,adj_ec,random_ec,pagerank,0,plsyncec,,,
16,1,58333344,23947347,adj_ec,ldg,pagerank,0,plsyncec,,,
16,1,58333344,23947347,adj_ec,fennel,pagerank,0,plsyncec,,,
16,1,58333344,23947347,adj_ec,metis,pagerank,0,plsyncec,/home/apacaci/datasets/USA-road/USA-road-metis-partition16/part-00000,,
16,1,58333344,23947347,snap,random,connected_component,0,plsync,,,
16,1,58333344,23947347,snap,grid,connected_component,0,plsync,,,
16,1,58333344,23947347,snap,dbh,connected_component,0,plsync,,,
16,1,58333344,23947347,snap,hybrid,connected_component,0,plsync,,,
16,1,58333344,23947347,snap,hybrid_ginger,connected_component,0,plsync,,,
16,1,58333344,23947347,adj_ec,random_ec,connected_component,0,plsync,,,
16,1,58333344,23947347,adj_ec,ldg,connected_component,0,plsync,,,
16,1,58333344,23947347,adj_ec,fennel,connected_component,0,plsync,,,
16,1,58333344,23947347,adj_ec,metis,connected_component,0,plsync,/home/apacaci/datasets/USA-road/USA-road-metis-partition16/part-00000,,
16,1,58333344,23947347,snap,random,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,snap,grid,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,snap,dbh,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,snap,hybrid,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,snap,hybrid_ginger,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,adj_ec,random_ec,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,adj_ec,ldg,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,adj_ec,fennel,sssp,0,plsync,,6982665,true
16,1,58333344,23947347,adj_ec,metis,sssp,0,plsync,/home/apacaci/datasets/USA-road/USA-road-metis-partition16/part-00000,6982665,true
